home;away;weight1;weight2
Oviedo;Sp Gijon;2.0;2.0
Salamanca;Tenerife;11.0;15.0
Valencia;Sociedad;64.0;64.0
Zaragoza;Celta;24.0;35.0
Ath Madrid;Barcelona;100.0;91.0
Santander;Valencia;47.0;46.0
Albacete;Salamanca;5.0;1.0
Celta;Vallecano;36.0;47.0
Espanol;Real Madrid;124.0;123.0
La Coruna;Zaragoza;41.0;35.0
Sevilla;Oviedo;12.0;10.0
Sociedad;Compostela;7.0;6.0
Sp Gijon;Betis;26.0;27.0
Tenerife;Ath Bilbao;25.0;25.0
Valladolid;Merida;2.0;6.0
Barcelona;Sp Gijon;8.0;2.0
Betis;Sevilla;67.0;77.0
Ath Bilbao;Merida;3.0;5.0
Compostela;Santander;6.0;6.0
Oviedo;Espanol;20.0;22.0
Real Madrid;Celta;51.0;32.0
Salamanca;Sociedad;10.0;12.0
Tenerife;Albacete;3.0;4.0
Valencia;Ath Madrid;68.0;74.0
Vallecano;La Coruna;31.0;31.0
Zaragoza;Valladolid;27.0;33.0
Albacete;Ath Bilbao;7.0;6.0
Ath Madrid;Compostela;8.0;6.0
Celta;Oviedo;17.0;13.0
Espanol;Betis;58.0;52.0
Merida;Zaragoza;6.0;8.0
Santander;Salamanca;8.0;4.0
Sevilla;Barcelona;111.0;113.0
Sociedad;Tenerife;8.0;13.0
Sp Gijon;Valencia;31.0;35.0
Valladolid;Vallecano;23.0;26.0
La Coruna;Real Madrid;93.0;79.0
Albacete;Sociedad;16.0;7.0
Ath Bilbao;Zaragoza;37.0;38.0
Betis;Celta;62.0;59.0
Compostela;Sp Gijon;4.0;4.0
Oviedo;La Coruna;25.0;31.0
Real Madrid;Valladolid;33.0;17.0
Salamanca;Ath Madrid;13.0;10.0
Tenerife;Santander;13.0;10.0
Valencia;Sevilla;53.0;67.0
Vallecano;Merida;1.0;0.0
Barcelona;Espanol;37.0;27.0
Ath Bilbao;Sociedad;68.0;71.0
Ath Madrid;Tenerife;14.0;10.0
Celta;Barcelona;90.0;78.0
Espanol;Valencia;79.0;84.0
La Coruna;Betis;29.0;37.0
Merida;Real Madrid;9.0;8.0
Santander;Albacete;13.0;9.0
Sevilla;Compostela;4.0;10.0
Sp Gijon;Salamanca;10.0;7.0
Valladolid;Oviedo;14.0;10.0
Zaragoza;Vallecano;15.0;11.0
Albacete;Ath Madrid;10.0;14.0
Betis;Valladolid;24.0;27.0
Barcelona;La Coruna;56.0;41.0
Compostela;Espanol;4.0;5.0
Oviedo;Merida;5.0;7.0
Real Madrid;Zaragoza;37.0;20.0
Salamanca;Sevilla;4.0;3.0
Sociedad;Santander;24.0;20.0
Tenerife;Sp Gijon;4.0;3.0
Valencia;Celta;42.0;41.0
Vallecano;Ath Bilbao;51.0;53.0
Valencia;La Coruna;44.0;43.0
Albacete;Sp Gijon;6.0;6.0
Barcelona;Valladolid;26.0;20.0
Betis;Merida;4.0;4.0
Compostela;Celta;6.0;3.0
Oviedo;Zaragoza;19.0;20.0
Real Madrid;Vallecano;26.0;13.0
Salamanca;Espanol;16.0;13.0
Santander;Ath Bilbao;56.0;61.0
Sociedad;Ath Madrid;74.0;76.0
Tenerife;Sevilla;14.0;16.0
Ath Bilbao;Real Madrid;121.0;121.0
Ath Madrid;Santander;27.0;24.0
Celta;Salamanca;3.0;1.0
Espanol;Tenerife;14.0;9.0
La Coruna;Compostela;10.0;8.0
Sevilla;Albacete;5.0;4.0
Sp Gijon;Sociedad;27.0;31.0
Valladolid;Valencia;49.0;59.0
Vallecano;Oviedo;16.0;19.0
Zaragoza;Betis;47.0;43.0
Merida;Barcelona;7.0;8.0
Salamanca;La Coruna;11.0;12.0
Albacete;Espanol;5.0;8.0
Ath Madrid;Ath Bilbao;56.0;51.0
Barcelona;Zaragoza;32.0;16.0
Betis;Vallecano;28.0;26.0
Compostela;Valladolid;11.0;12.0
Oviedo;Real Madrid;29.0;22.0
Santander;Sp Gijon;12.0;13.0
Sociedad;Sevilla;60.0;62.0
Tenerife;Celta;16.0;19.0
Valencia;Merida;2.0;3.0
Sp Gijon;Ath Madrid;44.0;44.0
Zaragoza;Valencia;47.0;57.0
Ath Bilbao;Oviedo;18.0;18.0
Celta;Albacete;8.0;5.0
Espanol;Sociedad;62.0;78.0
La Coruna;Tenerife;10.0;11.0
Merida;Compostela;9.0;10.0
Real Madrid;Betis;48.0;41.0
Sevilla;Santander;25.0;25.0
Valladolid;Salamanca;5.0;10.0
Vallecano;Barcelona;78.0;56.0
Ath Madrid;Sevilla;49.0;56.0
Barcelona;Real Madrid;75.0;65.0
Valencia;Vallecano;28.0;28.0
Albacete;La Coruna;11.0;13.0
Betis;Oviedo;4.0;4.0
Compostela;Zaragoza;7.0;4.0
Salamanca;Merida;4.0;5.0
Santander;Espanol;37.0;47.0
Sociedad;Celta;65.0;54.0
Sp Gijon;Ath Bilbao;36.0;36.0
Tenerife;Valladolid;20.0;19.0
Real Madrid;Valencia;71.0;55.0
Zaragoza;Salamanca;4.0;2.0
Ath Bilbao;Betis;56.0;60.0
Celta;Santander;31.0;35.0
Espanol;Ath Madrid;70.0;77.0
La Coruna;Sociedad;43.0;46.0
Merida;Tenerife;3.0;5.0
Oviedo;Barcelona;24.0;22.0
Sevilla;Sp Gijon;16.0;18.0
Valladolid;Albacete;6.0;6.0
Vallecano;Compostela;5.0;12.0
Santander;La Coruna;42.0;48.0
Albacete;Merida;1.0;1.0
Ath Madrid;Celta;39.0;30.0
Barcelona;Betis;61.0;31.0
Compostela;Real Madrid;12.0;14.0
Salamanca;Vallecano;3.0;3.0
Sevilla;Ath Bilbao;52.0;56.0
Sociedad;Valladolid;33.0;35.0
Sp Gijon;Espanol;23.0;22.0
Tenerife;Zaragoza;16.0;21.0
Valencia;Oviedo;10.0;8.0
Ath Bilbao;Barcelona;124.0;125.0
Espanol;Sevilla;85.0;91.0
Merida;Sociedad;6.0;6.0
Real Madrid;Salamanca;2.0;1.0
Valladolid;Santander;23.0;28.0
Betis;Valencia;77.0;82.0
Celta;Sp Gijon;7.0;8.0
La Coruna;Ath Madrid;59.0;69.0
Oviedo;Compostela;9.0;8.0
Vallecano;Tenerife;12.0;10.0
Zaragoza;Albacete;10.0;9.0
Valencia;Barcelona;112.0;104.0
Albacete;Vallecano;4.0;6.0
Ath Madrid;Valladolid;31.0;26.0
Compostela;Betis;13.0;16.0
Espanol;Ath Bilbao;65.0;63.0
Salamanca;Oviedo;11.0;14.0
Santander;Merida;4.0;3.0
Sevilla;Celta;48.0;53.0
Sociedad;Zaragoza;36.0;38.0
Sp Gijon;La Coruna;21.0;22.0
Tenerife;Real Madrid;30.0;26.0
Barcelona;Compostela;5.0;4.0
Real Madrid;Albacete;5.0;1.0
Zaragoza;Santander;29.0;28.0
Ath Bilbao;Valencia;81.0;85.0
Betis;Salamanca;4.0;4.0
Celta;Espanol;50.0;50.0
La Coruna;Sevilla;51.0;46.0
Merida;Ath Madrid;7.0;7.0
Oviedo;Tenerife;13.0;14.0
Valladolid;Sp Gijon;12.0;10.0
Vallecano;Sociedad;49.0;45.0
Sp Gijon;Merida;3.0;7.0
Tenerife;Betis;18.0;19.0
