home;away;weight1;weight2
Ituano;Capivariano;1.0;1.0
Mogi Mirim;Penapolense;3.0;3.0
RB Brasil;Piracicaba;5.0;6.0
Portuguesa;Rio Claro;3.0;1.0
Marilia;Audax-SP;1.0;1.0
Sao Paulo;Audax-SP;8.0;6.0
Capivariano;Marilia;0.0;0.0
RB Brasil;Sao Bento;7.0;6.0
Linense;Piracicaba;5.0;5.0
Botafogo SP;Bragantino;12.0;15.0
Portuguesa;Santos;7.0;6.0
Ituano;Corinthians;13.0;18.0
Rio Claro;Mogi Mirim;2.0;3.0
Penapolense;Palmeiras;5.0;6.0
Linense;Corinthians;14.0;12.0
Sao Bento;Ituano;9.0;17.0
Audax-SP;Sao Bernardo;6.0;4.0
Palmeiras;Capivariano;1.0;0.0
Bragantino;Portuguesa;8.0;9.0
Marilia;Penapolense;2.0;3.0
Rio Claro;Sao Paulo;7.0;7.0
Corinthians;Mogi Mirim;2.0;1.0
Piracicaba;Botafogo SP;3.0;1.0
RB Brasil;Audax-SP;10.0;6.0
Marilia;Piracicaba;1.0;1.0
Ituano;Rio Claro;3.0;1.0
Palmeiras;Bragantino;4.0;5.0
Mogi Mirim;Ponte Preta;2.0;2.0
Portuguesa;Penapolense;3.0;4.0
Linense;Capivariano;2.0;3.0
Botafogo SP;Santos;15.0;18.0
Rio Claro;RB Brasil;1.0;3.0
Piracicaba;Portuguesa;1.0;0.0
Penapolense;Linense;2.0;1.0
Bragantino;Marilia;0.0;0.0
Capivariano;Botafogo SP;4.0;6.0
Audax-SP;Mogi Mirim;4.0;3.0
Corinthians;Sao Bernardo;3.0;6.0
Ponte Preta;Ituano;13.0;13.0
Marilia;Santos;4.0;3.0
Linense;Bragantino;2.0;1.0
Portuguesa;Capivariano;2.0;3.0
Palmeiras;Piracicaba;5.0;1.0
Ponte Preta;Sao Paulo;12.0;13.0
Sao Bernardo;Rio Claro;7.0;4.0
Ituano;Audax-SP;7.0;9.0
Sao Bento;Mogi Mirim;1.0;1.0
Botafogo SP;Penapolense;5.0;3.0
Penapolense;Rio Claro;0.0;0.0
Santos;Audax-SP;3.0;2.0
Mogi Mirim;Portuguesa;3.0;4.0
Piracicaba;Sao Bento;3.0;6.0
Bragantino;Ponte Preta;6.0;9.0
Sao Paulo;Marilia;0.0;0.0
Capivariano;Corinthians;5.0;6.0
Sao Bernardo;Palmeiras;12.0;19.0
Rio Claro;Piracicaba;2.0;1.0
Corinthians;Portuguesa;1.0;1.0
Botafogo SP;Ituano;10.0;9.0
Marilia;RB Brasil;2.0;3.0
Linense;Mogi Mirim;7.0;6.0
Audax-SP;Capivariano;0.0;0.0
Sao Bento;Bragantino;5.0;7.0
Corinthians;Penapolense;4.0;2.0
Sao Bernardo;Botafogo SP;5.0;7.0
Ituano;Portuguesa;1.0;3.0
Mogi Mirim;Marilia;0.0;0.0
Capivariano;Rio Claro;3.0;2.0
Bragantino;Corinthians;10.0;14.0
Santos;Sao Bento;5.0;4.0
Piracicaba;Ponte Preta;3.0;1.0
Penapolense;Audax-SP;2.0;3.0
Portuguesa;Sao Bernardo;0.0;1.0
Sao Bento;Capivariano;2.0;1.0
Audax-SP;Piracicaba;1.0;3.0
Portuguesa;RB Brasil;2.0;3.0
Palmeiras;Mogi Mirim;4.0;1.0
Marilia;Ituano;2.0;3.0
Rio Claro;Bragantino;1.0;0.0
Ponte Preta;Penapolense;4.0;1.0
Mogi Mirim;Botafogo SP;10.0;12.0
Sao Paulo;Portuguesa;1.0;1.0
Sao Bernardo;Marilia;0.0;0.0
Santos;Rio Claro;3.0;2.0
RB Brasil;Linense;2.0;3.0
Piracicaba;Corinthians;4.0;5.0
Penapolense;Sao Bento;1.0;3.0
Capivariano;Ponte Preta;0.0;1.0
Bragantino;Audax-SP;3.0;6.0
Sao Paulo;RB Brasil;2.0;2.0
Santos;Piracicaba;1.0;0.0
Palmeiras;Santos;16.0;18.0
Paulista;Audax-SP;0.0;1.0
Palmeiras;Linense;6.0;4.0
Rio Claro;Atl. Sorocaba;0.0;0.0
Mogi Mirim;Comercial;1.0;0.0
Portuguesa;Corinthians;4.0;7.0
Oeste;Penapolense;0.0;0.0
Linense;Rio Claro;3.0;4.0
Audax-SP;Santos;6.0;11.0
Atl. Sorocaba;Oeste;1.0;1.0
Piracicaba;Sao Bernardo;5.0;6.0
Penapolense;Bragantino;5.0;6.0
Sao Paulo;Mogi Mirim;1.0;3.0
Corinthians;Paulista;1.0;1.0
Comercial;Palmeiras;2.0;3.0
Rio Claro;Penapolense;2.0;6.0
Ponte Preta;Audax-SP;1.0;0.0
Botafogo SP;Paulista;3.0;1.0
Sao Paulo;Oeste;4.0;0.0
Atl. Sorocaba;Palmeiras;6.0;6.0
Bragantino;Comercial;3.0;3.0
Paulista;Ituano;6.0;6.0
Mogi Mirim;Atl. Sorocaba;4.0;1.0
Portuguesa;Botafogo SP;4.0;6.0
Oeste;Comercial;1.0;1.0
Sao Paulo;Rio Claro;3.0;1.0
Santos;Corinthians;16.0;21.0
Palmeiras;Penapolense;3.0;3.0
Oeste;Linense;4.0;6.0
Ituano;Sao Bernardo;5.0;10.0
Comercial;Rio Claro;2.0;3.0
Bragantino;Atl. Sorocaba;2.0;3.0
Penapolense;Mogi Mirim;6.0;6.0
Paulista;Piracicaba;2.0;4.0
Rio Claro;Ituano;5.0;7.0
Botafogo SP;Oeste;8.0;5.0
Comercial;Ponte Preta;1.0;3.0
Atl. Sorocaba;Portuguesa;3.0;3.0
Piracicaba;Palmeiras;10.0;10.0
Corinthians;Bragantino;8.0;11.0
Sao Paulo;Paulista;0.0;0.0
Mogi Mirim;Audax-SP;5.0;6.0
Linense;Santos;17.0;13.0
Oeste;Ituano;4.0;6.0
Bragantino;Botafogo SP;7.0;12.0
Portuguesa;Linense;0.0;0.0
Mogi Mirim;Corinthians;6.0;7.0
Sao Bernardo;Atl. Sorocaba;3.0;1.0
Santos;Comercial;0.0;0.0
Paulista;Penapolense;4.0;6.0
Botafogo SP;Mogi Mirim;8.0;3.0
Piracicaba;Oeste;6.0;4.0
Audax-SP;Rio Claro;0.0;1.0
Comercial;Sao Bernardo;0.0;1.0
Atl. Sorocaba;Ponte Preta;2.0;3.0
Penapolense;Santos;6.0;6.0
Linense;Paulista;0.0;0.0
Mogi Mirim;Piracicaba;3.0;2.0
Audax-SP;Bragantino;1.0;0.0
Ponte Preta;Linense;7.0;7.0
Penapolense;Portuguesa;2.0;1.0
Palmeiras;Ituano;9.0;10.0
Oeste;Corinthians;11.0;15.0
Santos;Atl. Sorocaba;2.0;0.0
Comercial;Paulista;0.0;0.0
Penapolense;Ponte Preta;10.0;13.0
Audax-SP;Oeste;1.0;0.0
Mogi Mirim;Ituano;2.0;6.0
Bragantino;Piracicaba;2.0;3.0
Corinthians;Rio Claro;2.0;0.0
Sao Paulo;Santos;12.0;15.0
Portuguesa;Comercial;1.0;0.0
Paulista;Atl. Sorocaba;4.0;3.0
Botafogo SP;Palmeiras;10.0;22.0
Portuguesa;Mogi Mirim;1.0;1.0
Piracicaba;Sao Paulo;5.0;6.0
Corinthians;Comercial;0.0;0.0
Santos;Bragantino;5.0;6.0
Atl. Sorocaba;Audax-SP;2.0;1.0
Rio Claro;Paulista;0.0;0.0
Ponte Preta;Oeste;6.0;5.0
Oeste;Paulista;1.0;1.0
Atl. Sorocaba;Botafogo SP;3.0;4.0
Comercial;Ituano;0.0;0.0
Penapolense;Piracicaba;2.0;3.0
Palmeiras;Portuguesa;0.0;0.0
Ponte Preta;Rio Claro;1.0;0.0
Ituano;Atl. Sorocaba;1.0;2.0
Botafogo SP;Comercial;0.0;0.0
Sao Bernardo;Mogi Mirim;4.0;5.0
Santos;Oeste;4.0;0.0
Paulista;Palmeiras;5.0;6.0
Piracicaba;Linense;4.0;5.0
Audax-SP;Penapolense;3.0;3.0
Portuguesa;Bragantino;2.0;0.0
Atl. Sorocaba;Piracicaba;2.0;4.0
Penapolense;Corinthians;6.0;5.0
Rio Claro;Santos;5.0;5.0
Oeste;Portuguesa;0.0;0.0
Mogi Mirim;Paulista;4.0;1.0
Comercial;Audax-SP;3.0;3.0
Sao Bernardo;Oeste;2.0;0.0
Ponte Preta;Mogi Mirim;7.0;8.0
Piracicaba;Comercial;1.0;1.0
Paulista;Bragantino;3.0;4.0
Ituano;Penapolense;3.0;4.0
Corinthians;Atl. Sorocaba;0.0;0.0
Sao Paulo;Penapolense;1.0;1.0
Santos;Penapolense;7.0;3.0
Agua Santa;Ferroviaria;4.0;6.0
Santos;Sao Bernardo;5.0;3.0
RB Brasil;Sao Paulo;7.0;8.0
Oeste;Ponte Preta;8.0;11.0
Rio Claro;Capivariano;3.0;2.0
