home,away,home_goals,away_goals,home_win,away_win,draw,weights1,weights2
Girondins Bordeaux,RC Lens,3,0,1.0,0.0,0.0,0,0.0
Dijon FCO,FC Nantes,0,4,0.0,1.0,0.0,4,3.0
Lille OSC,AS Saint-Étienne,0,0,0.0,0.0,1.0,0,1.0
FC Lorient,FC Metz,2,1,1.0,0.0,0.0,1,0.0
Olympique Marseille,Angers SCO,3,2,1.0,0.0,0.0,2,0.0
AS Monaco,Stade Rennes,2,1,1.0,0.0,0.0,1,0.0
Montpellier HSC,Stade Brest,0,0,0.0,0.0,1.0,0,1.0
OGC Nice,RC Strasbourg,0,2,0.0,1.0,0.0,2,3.0
Nîmes Olympique,Olympique Lyon,2,5,0.0,1.0,0.0,5,3.0
Paris Saint-Germain,Stade Reims,4,0,1.0,0.0,0.0,0,0.0
Angers SCO,Lille OSC,1,2,0.0,1.0,0.0,2,3.0
Stade Brest,Paris Saint-Germain,0,2,0.0,1.0,0.0,2,3.0
RC Lens,AS Monaco,0,0,0.0,0.0,1.0,0,1.0
Olympique Lyon,OGC Nice,2,3,0.0,1.0,0.0,3,3.0
FC Metz,Olympique Marseille,1,1,0.0,0.0,1.0,1,1.0
FC Nantes,Montpellier HSC,1,2,0.0,1.0,0.0,2,3.0
Stade Reims,Girondins Bordeaux,1,2,0.0,1.0,0.0,2,3.0
Stade Rennes,Nîmes Olympique,2,0,1.0,0.0,0.0,0,0.0
AS Saint-Étienne,Dijon FCO,0,1,0.0,1.0,0.0,1,3.0
RC Strasbourg,FC Lorient,1,1,0.0,0.0,1.0,1,1.0
