nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 5;2022;23.01.2022;Novorizontino;Palmeiras;0;1;0;2;5.59;3.81;1.56;2.26;https://www.flashscore.com/match/r5VoUE7H/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;25.01.2022;Botafogo SP;Santo Andre;0;0;0;0;2.15;3.09;3.45;2.44;https://www.flashscore.com/match/K6zBB9eL/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;25.01.2022;Corinthians;Ferroviaria;0;0;0;0;1.33;4.4;9.52;2.21;https://www.flashscore.com/match/KUIc25I7/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;26.01.2022;Agua Santa;Sao Bernardo;0;1;0;1;2.06;3.03;3.84;2.51;https://www.flashscore.com/match/ltuFATAR/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;26.01.2022;Ituano;Novorizontino;0;0;2;0;2.71;2.94;2.69;2.5;https://www.flashscore.com/match/YDGo57Yl/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;26.01.2022;Inter de Limeira;Santos;0;0;0;0;3.71;3.1;2.03;2.33;https://www.flashscore.com/match/tGy7CktF/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;26.01.2022;Palmeiras;Ponte Preta;3;0;3;0;1.32;4.86;8.65;1.79;https://www.flashscore.com/match/tvKg3o31/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;27.01.2022;Mirassol;Bragantino;1;0;3;1;3.48;3.14;2.11;2.18;https://www.flashscore.com/match/nHKk4Rme/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2022;27.01.2022;Guarani;Sao Paulo;1;0;2;1;4.55;3.53;1.73;2.18;https://www.flashscore.com/match/jkRt6mJr/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;29.01.2022;Santos;Botafogo SP;0;0;0;1;1.55;3.61;5.96;2.27;https://www.flashscore.com/match/jB2HIQ2l/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;29.01.2022;Sao Bernardo;Palmeiras;1;0;1;1;8.3;3.89;1.42;2.28;https://www.flashscore.com/match/Kp7LHpIf/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;29.01.2022;Ponte Preta;Inter de Limeira;1;1;2;2;1.9;3.22;3.96;2.35;https://www.flashscore.com/match/6wRpOnuR/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;29.01.2022;Ferroviaria;Agua Santa;0;0;1;0;1.95;3.07;4.1;2.65;https://www.flashscore.com/match/bDNxQ8AE/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;30.01.2022;Sao Paulo;Ituano;0;0;0;0;1.38;4.14;8.18;2.16;https://www.flashscore.com/match/by6PG4X0/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;30.01.2022;Santo Andre;Corinthians;0;1;0;1;6.06;3.6;1.54;2.36;https://www.flashscore.com/match/KMOYQle8/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;30.01.2022;Novorizontino;Mirassol;0;0;0;0;2.67;2.89;2.76;2.64;https://www.flashscore.com/match/hzNtPSPK/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2022;31.01.2022;Bragantino;Guarani;0;0;1;0;1.59;3.74;5.25;2.08;https://www.flashscore.com/match/CK3DJ6mr/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;01.02.2022;Palmeiras;Agua Santa;1;0;1;0;1.17;6.05;14.75;1.81;https://www.flashscore.com/match/25tPy69Q/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;01.02.2022;Botafogo SP;Ferroviaria;0;0;1;1;2.49;2.85;3.02;2.67;https://www.flashscore.com/match/t0eUFOn7/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;02.02.2022;Santo Andre;Sao Bernardo;0;0;1;0;2.87;2.72;2.68;2.8;https://www.flashscore.com/match/hzaYEr2D/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;02.02.2022;Ponte Preta;Novorizontino;1;0;2;0;2.36;2.82;3.24;2.6;https://www.flashscore.com/match/4ESjXPHs/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;02.02.2022;Corinthians;Santos;0;0;1;2;1.82;3.11;4.69;2.72;https://www.flashscore.com/match/CvWbV3nf/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;03.02.2022;Mirassol;Guarani;1;0;2;0;2.12;2.95;3.62;2.35;https://www.flashscore.com/match/pUoKxnfK/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;03.02.2022;Ituano;Inter de Limeira;1;0;2;1;1.92;3.1;4.2;2.52;https://www.flashscore.com/match/6wmGwSvE/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2022;03.02.2022;Bragantino;Sao Paulo;2;1;4;3;2.59;2.89;2.81;2.54;https://www.flashscore.com/match/bySfWqXm/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2022;05.02.2022;Sao Bernardo;Ponte Preta;1;0;2;0;2.84;3.04;2.51;2.41;https://www.flashscore.com/match/EPwVXd8h/#/match-summary
