nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2021;27.02.2021;Sao Bento;Mirassol;1;1;1;2;4.21;3.4;1.81;2.04;https://www.flashscore.com/match/ryjiDQXc/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2021;27.02.2021;Novorizontino;Ponte Preta;0;1;1;1;2.74;3.12;2.52;2.22;https://www.flashscore.com/match/WdMYfqIT/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2021;28.02.2021;Bragantino;Corinthians;0;0;0;0;1.97;3.29;3.72;2.14;https://www.flashscore.com/match/n9drFn3o/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2021;28.02.2021;Sao Paulo;Botafogo SP;0;0;1;1;1.27;4.8;10.12;1.87;https://www.flashscore.com/match/MRleCpm4/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2021;28.02.2021;Santo Andre;Santos;1;2;2;2;2.99;3.2;2.3;2.24;https://www.flashscore.com/match/0C0nE6Ii/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2021;28.02.2021;Ferroviaria;Inter de Limeira;0;0;1;0;2.25;3.14;3.14;2.34;https://www.flashscore.com/match/zVSPd5mH/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2021;01.03.2021;Guarani;Ituano;0;2;0;3;2.66;2.84;2.83;2.48;https://www.flashscore.com/match/ELRTeP2N/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;02.03.2021;Mirassol;Novorizontino;1;1;1;1;2.09;3.07;3.6;2.26;https://www.flashscore.com/match/MkTw4Mfp/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;03.03.2021;Santos;Ferroviaria;1;0;1;1;2.53;3.02;2.85;2.32;https://www.flashscore.com/match/xbBQRPni/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;03.03.2021;Inter de Limeira;Sao Paulo;0;1;0;4;7.19;4.15;1.45;2.04;https://www.flashscore.com/match/j7x89rXM/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;03.03.2021;Sao Caetano;Bragantino;0;2;0;2;9.71;4.74;1.3;1.89;https://www.flashscore.com/match/GlAUQq2c/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;03.03.2021;Corinthians;Palmeiras;1;2;2;2;3.89;3.09;2.0;2.48;https://www.flashscore.com/match/8rm3AOHG/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;04.03.2021;Ituano;Sao Bento;1;0;1;0;1.67;3.41;5.24;2.37;https://www.flashscore.com/match/4AtC82nT/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;04.03.2021;Botafogo SP;Guarani;0;0;0;1;2.17;3.02;3.44;2.64;https://www.flashscore.com/match/UilaB42A/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2021;04.03.2021;Ponte Preta;Santo Andre;0;0;0;1;1.94;3.22;3.9;2.18;https://www.flashscore.com/match/0tSs3tAj/#/match-summary
