nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 7;2020;21.02.2020;Novorizontino;Mirassol;1;1;1;1;2.41;2.96;2.99;2.37;https://www.flashscore.com/match/8r3QoRlj/#/match-summary
BRAZIL;PAULISTA;ROUND 7;2020;22.02.2020;Agua Santa;Corinthians;1;1;2;1;4.86;3.49;1.68;2.28;https://www.flashscore.com/match/zerP6SQF/#/match-summary
BRAZIL;PAULISTA;ROUND 7;2020;22.02.2020;Oeste;Sao Paulo;0;1;0;4;8.9;4.3;1.34;2.12;https://www.flashscore.com/match/nZ1Upo4d/#/match-summary
BRAZIL;PAULISTA;ROUND 7;2020;22.02.2020;Ituano;Santos;2;0;2;0;4.22;3.25;1.86;2.3;https://www.flashscore.com/match/0I3Mn7Zq/#/match-summary
BRAZIL;PAULISTA;ROUND 7;2020;22.02.2020;Ponte Preta;Ferroviaria;0;1;1;1;2.28;3.1;3.05;2.42;https://www.flashscore.com/match/2spH8ld3/#/match-summary
BRAZIL;PAULISTA;ROUND 7;2020;23.02.2020;Santo Andre;Bragantino;1;0;1;0;3.55;3.27;2.01;2.3;https://www.flashscore.com/match/d4qL78B9/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;26.02.2020;Corinthians;Santo Andre;0;1;1;1;1.54;3.88;5.48;2.03;https://www.flashscore.com/match/Ue0clKAl/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;28.02.2020;Guarani;Agua Santa;0;0;0;0;1.93;3.27;3.76;2.22;https://www.flashscore.com/match/zg35nbu1/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;28.02.2020;Bragantino;Ituano;2;1;2;1;1.54;3.76;5.82;2.29;https://www.flashscore.com/match/j51gk0er/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;29.02.2020;Santos;Palmeiras;0;0;0;0;3.89;3.18;1.98;2.33;https://www.flashscore.com/match/pOpd9LnE/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;01.03.2020;Inter de Limeira;Novorizontino;0;0;0;1;2.66;3.09;2.62;2.42;https://www.flashscore.com/match/IHhAoIf7/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;01.03.2020;Sao Paulo;Ponte Preta;2;0;2;1;1.38;4.22;7.85;2.24;https://www.flashscore.com/match/OEq08u2K/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;01.03.2020;Ferroviaria;Botafogo SP;0;0;1;0;1.78;3.52;4.21;2.05;https://www.flashscore.com/match/OIa1mvQf/#/match-summary
BRAZIL;PAULISTA;ROUND 8;2020;02.03.2020;Mirassol;Oeste;1;0;1;0;1.37;4.49;7.76;1.92;https://www.flashscore.com/match/d8iEpxAD/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;06.03.2020;Ituano;Guarani;0;1;0;2;2.43;2.94;2.97;2.28;https://www.flashscore.com/match/raQW2JPs/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;07.03.2020;Santo Andre;Oeste;0;0;0;1;1.58;3.77;5.29;2.03;https://www.flashscore.com/match/MPguayP6/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;07.03.2020;Palmeiras;Ferroviaria;0;0;1;1;1.31;4.62;8.64;2.06;https://www.flashscore.com/match/GCOv1cff/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;07.03.2020;Novorizontino;Corinthians;1;1;1;1;3.73;3.15;2.02;2.35;https://www.flashscore.com/match/xMPz2wul/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;07.03.2020;Santos;Mirassol;3;1;3;1;1.74;3.46;4.42;2.12;https://www.flashscore.com/match/GngqbevD/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;08.03.2020;Agua Santa;Inter de Limeira;0;1;1;1;2.08;3.18;3.4;2.34;https://www.flashscore.com/match/UkcmcFgJ/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;08.03.2020;Botafogo SP;Sao Paulo;0;0;1;0;3.74;3.21;1.95;2.27;https://www.flashscore.com/match/6wZ47aHQ/#/match-summary
BRAZIL;PAULISTA;ROUND 9;2020;09.03.2020;Ponte Preta;Bragantino;0;0;1;2;2.98;3.03;2.37;2.34;https://www.flashscore.com/match/rZfy0H90/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;13.03.2020;Oeste;Botafogo SP;0;0;3;0;2.74;2.88;2.64;2.65;https://www.flashscore.com/match/UkJICfg6/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;13.03.2020;Bragantino;Agua Santa;2;0;4;0;1.38;4.2;7.76;2.18;https://www.flashscore.com/match/WfyWLbWJ/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;14.03.2020;Inter de Limeira;Palmeiras;0;0;0;0;15.38;5.43;1.21;1.79;https://www.flashscore.com/match/OhGAEGOg/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;14.03.2020;Ferroviaria;Novorizontino;0;0;0;0;2.26;2.97;3.22;2.5;https://www.flashscore.com/match/2wS1Gxfs/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;14.03.2020;Sao Paulo;Santos;0;1;2;1;1.9;3.14;4.15;2.42;https://www.flashscore.com/match/8tIMBE8C/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;15.03.2020;Mirassol;Santo Andre;1;0;1;0;1.74;3.32;4.78;2.36;https://www.flashscore.com/match/zTJEDzv0/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;15.03.2020;Corinthians;Ituano;1;1;1;1;1.31;4.59;8.71;2.06;https://www.flashscore.com/match/AozzLIoQ/#/match-summary
BRAZIL;PAULISTA;ROUND 10;2020;16.03.2020;Guarani;Ponte Preta;0;2;3;2;2.56;2.99;2.78;2.64;https://www.flashscore.com/match/tUQ5Fd9m/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;22.07.2020;Ituano;Ferroviaria;0;0;0;0;2.82;2.87;2.57;2.4;https://www.flashscore.com/match/fXjuUeOt/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;22.07.2020;Santos;Santo Andre;1;1;1;1;1.52;3.9;5.91;2.12;https://www.flashscore.com/match/GnulSZhg/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;22.07.2020;Ponte Preta;Novorizontino;1;0;2;0;2.09;3.07;3.55;2.45;https://www.flashscore.com/match/xdtpTFwm/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;22.07.2020;Corinthians;Palmeiras;1;0;1;0;3.56;2.66;2.33;2.64;https://www.flashscore.com/match/48BV9hwP/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;23.07.2020;Agua Santa;Mirassol;0;0;0;0;1.98;3.04;3.92;2.48;https://www.flashscore.com/match/23wdQDN5/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;23.07.2020;Inter de Limeira;Oeste;1;0;2;1;2.56;2.9;2.82;2.84;https://www.flashscore.com/match/IBaDYyGP/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;23.07.2020;Sao Paulo;Bragantino;2;2;2;3;1.74;3.4;4.49;2.25;https://www.flashscore.com/match/OCvhRg8a/#/match-summary
BRAZIL;PAULISTA;ROUND 11;2020;23.07.2020;Botafogo SP;Guarani;0;0;2;0;3.13;2.99;2.3;2.6;https://www.flashscore.com/match/QHCRAYNI/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Santo Andre;Ituano;1;3;1;3;2.95;2.99;2.41;2.54;https://www.flashscore.com/match/bmGvHi0b/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Palmeiras;Agua Santa;0;0;2;1;1.19;5.74;11.62;1.81;https://www.flashscore.com/match/02cyIXph/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Oeste;Corinthians;0;1;0;2;7.26;4.16;1.4;1.98;https://www.flashscore.com/match/6ubXIDVo/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Novorizontino;Santos;0;1;3;2;4.32;3.3;1.78;2.15;https://www.flashscore.com/match/SlaTJgGu/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Mirassol;Ponte Preta;0;0;0;1;4.26;3.15;1.86;2.52;https://www.flashscore.com/match/WrVCMVMU/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Guarani;Sao Paulo;1;1;1;3;2.68;3.19;2.45;2.23;https://www.flashscore.com/match/hhW8NB7O/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Ferroviaria;Inter de Limeira;1;0;2;0;2.15;3.08;3.29;2.34;https://www.flashscore.com/match/bVW4OihI/#/match-summary
BRAZIL;PAULISTA;ROUND 12;2020;26.07.2020;Bragantino;Botafogo SP;1;0;2;0;1.62;3.72;4.89;1.9;https://www.flashscore.com/match/pSS0PXxC/#/match-summary
BRAZIL;PAULISTA;TROFÉU INTERIOR;2020;29.07.2020;Ferroviaria;Inter de Limeira;0;2;0;2;1.81;3.29;4.51;2.41;https://www.flashscore.com/match/EJbLl3xs/#/match-summary
BRAZIL;PAULISTA;TROFÉU INTERIOR;2020;29.07.2020;Guarani;Ituano;1;0;1;1;2.36;2.85;3.26;2.45;https://www.flashscore.com/match/fVom7Bh8/#/match-summary
BRAZIL;PAULISTA;TROFÉU INTERIOR;2020;29.07.2020;Novorizontino;Botafogo SP;0;0;0;2;1.99;2.96;4.09;2.73;https://www.flashscore.com/match/YLpi6V7E/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;29.07.2020;Sao Paulo;Mirassol;2;2;2;3;1.25;4.85;11.62;1.92;https://www.flashscore.com/match/SOg1q801/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;29.07.2020;Palmeiras;Santo Andre;0;0;2;0;1.24;5.29;10.3;1.79;https://www.flashscore.com/match/Wd0hoUVl/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;30.07.2020;Bragantino;Corinthians;0;1;0;2;2.43;3.06;2.83;2.35;https://www.flashscore.com/match/p04dploe/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;30.07.2020;Santos;Ponte Preta;1;0;1;3;1.6;3.54;5.44;2.23;https://www.flashscore.com/match/6Fh5rSF7/#/match-summary
BRAZIL;PAULISTA;TROFÉU INTERIOR;2020;01.08.2020;Inter de Limeira;Guarani;1;0;1;2;3.28;3.16;2.15;2.31;https://www.flashscore.com/match/n98QlxHH/#/match-summary
BRAZIL;PAULISTA;TROFÉU INTERIOR;2020;01.08.2020;Bragantino;Botafogo SP;0;0;1;1;1.63;3.74;5.05;1.92;https://www.flashscore.com/match/4pJLkI1B/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;02.08.2020;Corinthians;Mirassol;0;0;1;0;1.4;4.06;8.07;2.25;https://www.flashscore.com/match/belsZOZa/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;02.08.2020;Palmeiras;Ponte Preta;1;0;1;0;1.47;3.98;6.34;2.0;https://www.flashscore.com/match/GWrnYrk6/#/match-summary
BRAZIL;PAULISTA;TROFÉU INTERIOR;2020;04.08.2020;Bragantino;Guarani;1;0;1;0;1.63;3.66;5.08;2.13;https://www.flashscore.com/match/0AkJgzkG/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;05.08.2020;Corinthians;Palmeiras;0;0;0;0;3.32;2.72;2.38;3.28;https://www.flashscore.com/match/QkYKnHwA/#/match-summary
BRAZIL;PAULISTA;PLAY OFFS;2020;08.08.2020;Palmeiras;Corinthians;0;0;1;1;1.89;2.98;4.54;3.14;https://www.flashscore.com/match/rRSPoygG/#/match-summary
