nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2014;18.01.2014;Paulista;Audax-SP;0;0;0;0;2.56;3.47;2.65;1.87;https://www.flashscore.com/match/GYPITOpO/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;18.01.2014;Palmeiras;Linense;0;1;2;1;1.31;4.62;8.45;1.64;https://www.flashscore.com/match/tGcuoQFb/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;18.01.2014;Sao Bernardo;Botafogo SP;1;0;1;0;2.06;3.28;3.22;1.88;https://www.flashscore.com/match/fPOMSr0U/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;18.01.2014;Santos;Piracicaba;1;0;1;0;1.36;4.5;7.2;1.64;https://www.flashscore.com/match/AyNAVpGB/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;18.01.2014;Rio Claro;Atl. Sorocaba;1;0;1;0;2.09;3.32;3.15;1.78;https://www.flashscore.com/match/SCgyn60h/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;18.01.2014;Mogi Mirim;Comercial;0;0;2;1;1.78;3.48;4.08;1.76;https://www.flashscore.com/match/OvmpppV4/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;19.01.2014;Portuguesa;Corinthians;1;2;1;2;5.4;3.62;1.58;2.3;https://www.flashscore.com/match/SCX5WQ05/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;19.01.2014;Bragantino;Sao Paulo;1;0;2;0;5.65;3.78;1.52;1.76;https://www.flashscore.com/match/faeTmSVu/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2014;19.01.2014;Oeste;Penapolense;1;0;1;0;1.88;3.38;3.7;1.81;https://www.flashscore.com/match/YkfXnnon/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;21.01.2014;Linense;Rio Claro;0;0;0;0;1.86;3.32;3.72;1.96;https://www.flashscore.com/match/W8rPpHLF/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;21.01.2014;Audax-SP;Santos;1;0;1;1;4.57;3.52;1.69;1.99;https://www.flashscore.com/match/UqbQPFqj/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Ituano;Portuguesa;0;0;0;0;2.37;3.18;2.88;2.07;https://www.flashscore.com/match/nL8LQeUq/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Atl. Sorocaba;Oeste;0;1;1;1;2.14;3.2;3.28;2.02;https://www.flashscore.com/match/hIqLoc69/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Piracicaba;Sao Bernardo;0;2;1;2;2.0;3.32;3.58;2.0;https://www.flashscore.com/match/AeohrOaH/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Penapolense;Bragantino;0;0;0;2;2.1;3.35;3.25;2.04;https://www.flashscore.com/match/zskGnwi3/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Botafogo SP;Ponte Preta;1;0;1;0;2.38;3.15;2.92;2.04;https://www.flashscore.com/match/rm2UOZbd/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Sao Paulo;Mogi Mirim;0;0;4;0;1.48;4.0;6.62;1.86;https://www.flashscore.com/match/djjCmJyc/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;22.01.2014;Corinthians;Paulista;0;0;1;0;1.35;4.53;8.45;1.86;https://www.flashscore.com/match/2Volq4pB/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2014;23.01.2014;Comercial;Palmeiras;0;2;0;2;5.42;3.75;1.59;1.9;https://www.flashscore.com/match/QVsTqyyM/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;25.01.2014;Rio Claro;Penapolense;0;1;0;1;2.1;3.18;3.45;2.2;https://www.flashscore.com/match/rs9XBgKE/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;25.01.2014;Piracicaba;Portuguesa;0;0;1;0;2.4;3.28;2.76;2.05;https://www.flashscore.com/match/tIOYjhrk/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;25.01.2014;Ponte Preta;Audax-SP;0;0;1;0;2.39;2.95;2.85;1.91;https://www.flashscore.com/match/xpIskWC1/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;25.01.2014;Botafogo SP;Paulista;2;0;4;2;1.9;3.38;3.8;2.08;https://www.flashscore.com/match/GzHoljS7/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;25.01.2014;Corinthians;Sao Bernardo;0;1;0;1;1.4;4.16;7.95;1.93;https://www.flashscore.com/match/nePUiYSr/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;26.01.2014;Sao Paulo;Oeste;2;0;2;1;1.32;4.65;9.5;1.74;https://www.flashscore.com/match/4jATCZ48/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;26.01.2014;Atl. Sorocaba;Palmeiras;1;1;1;4;4.95;3.55;1.67;1.86;https://www.flashscore.com/match/Q5bxBDZK/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;26.01.2014;Linense;Mogi Mirim;0;2;1;2;2.28;3.25;2.98;1.93;https://www.flashscore.com/match/xt2tAXlR/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;26.01.2014;Ituano;Santos;0;0;0;1;3.88;3.38;1.88;1.96;https://www.flashscore.com/match/fLSxjCce/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2014;26.01.2014;Bragantino;Comercial;1;1;1;3;1.69;3.48;4.92;1.9;https://www.flashscore.com/match/fLl85icr/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;28.01.2014;Sao Bernardo;Audax-SP;0;0;0;1;2.06;3.25;3.25;1.91;https://www.flashscore.com/match/xOt7xgTe/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Paulista;Ituano;1;1;2;3;2.25;3.2;3.1;2.01;https://www.flashscore.com/match/8lx3wZDk/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Mogi Mirim;Atl. Sorocaba;2;1;3;3;1.67;3.53;4.42;1.78;https://www.flashscore.com/match/QqN1bzjF/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Portuguesa;Botafogo SP;1;1;1;2;2.16;3.2;3.15;2.01;https://www.flashscore.com/match/GEuByDr2/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Oeste;Comercial;1;0;1;1;2.57;3.2;2.7;1.98;https://www.flashscore.com/match/pnw3dEKR/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Linense;Bragantino;0;0;1;0;3.62;3.45;1.94;2.07;https://www.flashscore.com/match/4zM5cf5L/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Sao Paulo;Rio Claro;3;0;6;3;1.27;5.0;10.5;1.73;https://www.flashscore.com/match/IJJg0dL2/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;29.01.2014;Santos;Corinthians;2;1;5;1;2.62;3.18;2.56;2.3;https://www.flashscore.com/match/OG0WrejS/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;30.01.2014;Palmeiras;Penapolense;0;0;1;0;1.28;4.9;10.22;1.69;https://www.flashscore.com/match/WMNcaGz9/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2014;30.01.2014;Piracicaba;Ponte Preta;0;0;4;1;2.1;3.32;3.28;2.0;https://www.flashscore.com/match/UcwavFbq/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;01.02.2014;Oeste;Linense;0;1;0;1;2.79;3.28;2.39;1.98;https://www.flashscore.com/match/EqOpJARs/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;01.02.2014;Ituano;Sao Bernardo;0;0;0;0;2.15;3.32;3.25;1.98;https://www.flashscore.com/match/UwsL2ks1/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;01.02.2014;Santos;Botafogo SP;2;0;5;1;1.4;4.25;7.58;1.76;https://www.flashscore.com/match/x4pT0TBD/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;01.02.2014;Comercial;Rio Claro;1;0;1;2;2.02;3.35;3.42;1.96;https://www.flashscore.com/match/d8DkIUtl/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;01.02.2014;Bragantino;Atl. Sorocaba;1;0;2;0;1.9;3.4;3.88;1.81;https://www.flashscore.com/match/CzxJNjJQ/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;02.02.2014;Audax-SP;Portuguesa;3;2;4;2;1.95;3.3;3.5;2.01;https://www.flashscore.com/match/O0tP19d7/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;02.02.2014;Ponte Preta;Corinthians;1;1;2;1;4.06;3.3;1.88;2.26;https://www.flashscore.com/match/YBmC4BCl/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;02.02.2014;Palmeiras;Sao Paulo;1;0;2;0;2.48;3.28;2.68;1.96;https://www.flashscore.com/match/v9OBPClE/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;02.02.2014;Penapolense;Mogi Mirim;2;0;2;1;2.53;3.18;2.65;2.0;https://www.flashscore.com/match/IaNFOW3K/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2014;02.02.2014;Paulista;Piracicaba;0;0;0;0;2.7;3.28;2.48;2.04;https://www.flashscore.com/match/jmrH3VRf/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2014;04.02.2014;Rio Claro;Ituano;0;0;1;1;2.38;3.18;2.88;2.18;https://www.flashscore.com/match/rPF1FSQ6/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2014;04.02.2014;Botafogo SP;Oeste;0;0;3;1;1.88;3.48;3.82;1.88;https://www.flashscore.com/match/4YGcG8B0/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2014;05.02.2014;Comercial;Ponte Preta;0;1;0;1;2.2;3.25;3.12;2.0;https://www.flashscore.com/match/hhIYHLn5/#/match-summary
BRAZIL;PAULISTA;ROUND 6;2014;05.02.2014;Atl. Sorocaba;Portuguesa;0;0;1;3;2.35;3.32;2.78;1.8;https://www.flashscore.com/match/pSEQJsIh/#/match-summary
