nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2019;19.01.2019;Ponte Preta;Oeste;0;0;0;0;1.75;3.43;4.6;2.47;https://www.flashscore.com/match/tAMOAruG/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;19.01.2019;Santos;Ferroviaria;0;0;1;0;1.54;3.73;6.27;2.08;https://www.flashscore.com/match/hlUBDpec/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;19.01.2019;Sao Paulo;Mirassol;1;1;4;1;1.28;4.7;10.75;2.05;https://www.flashscore.com/match/EcV7EQui/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;19.01.2019;Bragantino;Guarani;1;0;1;0;2.39;3.14;2.88;2.45;https://www.flashscore.com/match/nBTFC4A3/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;20.01.2019;Botafogo SP;Sao Bento;0;0;1;1;2.16;3.08;3.38;2.66;https://www.flashscore.com/match/K0LS92fM/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;20.01.2019;Corinthians;Sao Caetano;0;1;1;1;1.31;4.54;10.04;2.19;https://www.flashscore.com/match/dM0N6EMp/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;20.01.2019;RB Brasil;Palmeiras;1;1;1;1;7.62;4.37;1.37;1.95;https://www.flashscore.com/match/zDaR5Yyi/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2019;21.01.2019;Ituano;Novorizontino;0;0;0;1;2.56;3.2;2.62;2.2;https://www.flashscore.com/match/boXJBOP9/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;23.01.2019;Ferroviaria;Ponte Preta;0;0;0;0;3.04;2.84;2.47;2.72;https://www.flashscore.com/match/6ROkPsf9/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;23.01.2019;Oeste;Bragantino;0;0;0;0;2.21;2.98;3.47;2.66;https://www.flashscore.com/match/0EgkR3Pd/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;23.01.2019;Guarani;Corinthians;2;1;2;1;4.2;3.29;1.88;2.64;https://www.flashscore.com/match/lzQW8M9S/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;23.01.2019;Palmeiras;Botafogo SP;1;0;1;0;1.32;4.6;10.25;1.9;https://www.flashscore.com/match/jqCb4tIq/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;24.01.2019;Sao Bento;Santos;0;2;0;4;3.98;3.15;1.97;2.34;https://www.flashscore.com/match/nB572Knd/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;24.01.2019;Sao Caetano;Ituano;0;0;0;0;2.2;3.1;3.32;2.36;https://www.flashscore.com/match/pINgO19F/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;24.01.2019;Novorizontino;Sao Paulo;0;2;0;3;5.18;3.5;1.67;2.2;https://www.flashscore.com/match/Y71330Xk/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2019;25.01.2019;Mirassol;RB Brasil;1;0;1;0;2.9;3.1;2.45;2.34;https://www.flashscore.com/match/v5hgQNv3/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2019;26.01.2019;Guarani;Oeste;0;0;1;2;2.03;3.1;3.7;2.47;https://www.flashscore.com/match/xG2YGJ1k/#/match-summary
