nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2017;03.02.2017;Santos;Linense;2;0;6;2;1.24;5.84;11.88;1.62;https://www.flashscore.com/match/rqjTwac0/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;04.02.2017;Santo Andre;Ituano;0;0;1;1;2.5;3.05;2.72;2.39;https://www.flashscore.com/match/0zknfKss/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;04.02.2017;Sao Bento;Corinthians;0;0;0;1;4.76;3.43;1.73;2.34;https://www.flashscore.com/match/fgCJb0ZP/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;04.02.2017;Novorizontino;Sao Bernardo;2;1;3;2;2.03;3.29;3.52;2.16;https://www.flashscore.com/match/vRmjgvcm/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;05.02.2017;Mirassol;RB Brasil;1;0;2;0;2.48;3.18;2.77;1.99;https://www.flashscore.com/match/SnKXzcsJ/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;05.02.2017;Palmeiras;Botafogo SP;0;0;1;0;1.36;4.52;8.48;1.91;https://www.flashscore.com/match/tj8FatKJ/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;05.02.2017;Audax-SP;Sao Paulo;2;2;4;2;5.25;3.73;1.64;1.98;https://www.flashscore.com/match/MZlXxJC6/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2017;05.02.2017;Ponte Preta;Ferroviaria;1;1;2;1;1.62;3.78;5.06;2.07;https://www.flashscore.com/match/ldLTywSC/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;08.02.2017;RB Brasil;Santo Andre;0;0;1;1;1.85;3.35;3.9;2.36;https://www.flashscore.com/match/lOHIp7Ap/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;11.02.2017;Linense;Audax-SP;0;0;2;0;2.79;3.2;2.45;2.1;https://www.flashscore.com/match/tjp7kddC/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;11.02.2017;Ferroviaria;Mirassol;1;0;1;3;2.08;3.12;3.16;2.0;https://www.flashscore.com/match/UFt3jxs6/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;11.02.2017;Botafogo SP;Novorizontino;1;0;2;1;2.11;3.14;3.51;2.38;https://www.flashscore.com/match/lfjNeXIo/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;11.02.2017;Corinthians;Santo Andre;0;1;0;2;1.28;5.15;9.91;1.97;https://www.flashscore.com/match/zDqBlGBI/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;12.02.2017;RB Brasil;Santos;1;2;2;3;7.09;4.3;1.43;1.72;https://www.flashscore.com/match/80hfhbCg/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;12.02.2017;Sao Paulo;Ponte Preta;2;1;5;2;1.66;3.55;5.18;2.03;https://www.flashscore.com/match/niibiIRa/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;12.02.2017;Sao Bernardo;Sao Bento;1;1;2;1;2.42;3.08;2.95;2.36;https://www.flashscore.com/match/SpkRfiYi/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2017;12.02.2017;Ituano;Palmeiras;0;0;1;0;5.15;3.61;1.66;2.22;https://www.flashscore.com/match/Cx7vXmto/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;14.02.2017;Mirassol;Linense;2;1;3;1;1.94;3.35;3.77;2.06;https://www.flashscore.com/match/zBhZhV24/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;14.02.2017;Ferroviaria;Audax-SP;1;1;1;1;2.94;3.18;2.24;2.04;https://www.flashscore.com/match/IZsvhkIA/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;15.02.2017;Ituano;Sao Bento;1;0;1;0;2.05;3.11;3.58;2.42;https://www.flashscore.com/match/2RLMqRPj/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;15.02.2017;Corinthians;Novorizontino;1;0;1;0;1.34;4.75;9.15;1.82;https://www.flashscore.com/match/4jtnjTnN/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;15.02.2017;Botafogo SP;Ponte Preta;1;0;1;2;2.54;3.01;2.77;2.24;https://www.flashscore.com/match/dQtri9XG/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;15.02.2017;Santos;Sao Paulo;1;1;1;3;2.08;3.44;3.44;1.72;https://www.flashscore.com/match/M7lVgBmb/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2017;16.02.2017;Palmeiras;Sao Bernardo;0;0;2;0;1.26;5.29;11.62;1.79;https://www.flashscore.com/match/rsujkm2T/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;18.02.2017;Novorizontino;Ituano;1;0;1;0;2.1;3.22;3.5;2.1;https://www.flashscore.com/match/pA1L4S1G/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;18.02.2017;Audax-SP;Corinthians;0;1;0;1;3.22;3.2;2.22;2.38;https://www.flashscore.com/match/Cd3D6lX3/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;18.02.2017;Sao Paulo;Mirassol;1;0;2;2;1.35;5.01;7.95;1.53;https://www.flashscore.com/match/GU948A2i/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;18.02.2017;Sao Bento;Botafogo SP;0;0;0;0;2.22;3.02;3.46;2.7;https://www.flashscore.com/match/reKO3nHM/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;18.02.2017;Santos;Ferroviaria;0;0;0;1;1.28;5.48;9.66;1.64;https://www.flashscore.com/match/fL887UHc/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;18.02.2017;Ponte Preta;RB Brasil;0;0;0;0;1.91;3.49;3.83;1.86;https://www.flashscore.com/match/SSeebQvp/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;19.02.2017;Santo Andre;Sao Bernardo;0;1;0;1;2.17;3.28;3.26;2.11;https://www.flashscore.com/match/QJ9T26WS/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2017;19.02.2017;Linense;Palmeiras;0;2;0;4;7.68;4.58;1.39;1.73;https://www.flashscore.com/match/jm2H58nA/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2017;21.02.2017;Sao Paulo;Sao Bento;1;1;3;2;1.26;5.41;10.58;1.68;https://www.flashscore.com/match/d20acpfj/#/match-summary
