nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2018;17.01.2018;RB Brasil;Ferroviaria;0;0;0;0;1.92;3.24;4.15;2.24;https://www.flashscore.com/match/AygiTRo5/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;17.01.2018;Sao Bento;Sao Paulo;0;0;2;0;2.25;3.16;3.23;2.3;https://www.flashscore.com/match/r7MMDnnI/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;17.01.2018;Novorizontino;Mirassol;1;1;3;1;2.04;3.28;3.63;2.14;https://www.flashscore.com/match/GEgmU7Wb/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;17.01.2018;Linense;Santos;0;2;0;3;5.17;3.91;1.64;1.82;https://www.flashscore.com/match/4MAVBQGU/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;17.01.2018;Ituano;Sao Caetano;2;0;3;1;2.07;3.15;3.7;2.31;https://www.flashscore.com/match/2BkqVmHh/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;17.01.2018;Corinthians;Ponte Preta;0;0;0;1;1.44;4.16;7.15;2.1;https://www.flashscore.com/match/td1zX9nt/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;18.01.2018;Palmeiras;Santo Andre;2;0;3;1;1.25;5.69;10.55;1.54;https://www.flashscore.com/match/QVBRC61O/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2018;18.01.2018;Bragantino;Botafogo SP;0;0;2;0;2.48;3.06;2.94;2.37;https://www.flashscore.com/match/Kn0vWT1n/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;20.01.2018;Mirassol;Sao Bento;0;0;0;0;2.23;3.09;3.34;2.28;https://www.flashscore.com/match/WlxMFTY2/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;20.01.2018;Sao Paulo;Novorizontino;0;0;0;0;1.45;4.3;6.71;1.89;https://www.flashscore.com/match/lSieSo1B/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;20.01.2018;Ferroviaria;Ituano;0;1;1;1;2.15;3.12;3.51;2.3;https://www.flashscore.com/match/0OtQEml9/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;21.01.2018;Botafogo SP;Palmeiras;0;0;0;1;5.25;3.73;1.64;2.1;https://www.flashscore.com/match/63n0R5GH/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;21.01.2018;Sao Caetano;Corinthians;0;1;0;4;7.3;4.17;1.44;2.06;https://www.flashscore.com/match/xj9X8c0j/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;21.01.2018;Santo Andre;RB Brasil;1;0;1;1;2.46;3.22;2.83;2.16;https://www.flashscore.com/match/lQCy8HFd/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;21.01.2018;Ponte Preta;Linense;0;1;0;1;1.49;3.98;6.31;2.02;https://www.flashscore.com/match/hbwIG9Jd/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2018;22.01.2018;Santos;Bragantino;0;0;0;1;1.36;4.62;8.19;1.78;https://www.flashscore.com/match/rT9T9wop/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;24.01.2018;Linense;Sao Caetano;0;1;0;2;2.41;3.22;2.82;2.06;https://www.flashscore.com/match/WCK86Pek/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;24.01.2018;Corinthians;Ferroviaria;0;1;2;1;1.55;3.92;6.0;2.12;https://www.flashscore.com/match/vFuUD73F/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;24.01.2018;Botafogo SP;Novorizontino;2;0;3;1;2.15;3.18;3.36;2.37;https://www.flashscore.com/match/COy65qBe/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;24.01.2018;Mirassol;Sao Paulo;0;0;0;2;4.01;3.4;1.9;2.07;https://www.flashscore.com/match/MwVYCRIL/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;25.01.2018;Bragantino;Sao Bento;0;1;0;1;2.79;3.02;2.62;2.64;https://www.flashscore.com/match/jFzA43Q1/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;25.01.2018;Ponte Preta;Santos;1;0;1;2;3.07;3.1;2.38;2.43;https://www.flashscore.com/match/hML475tq/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;25.01.2018;Ituano;Santo Andre;0;0;0;0;2.13;3.14;3.55;2.36;https://www.flashscore.com/match/4IOiTn32/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2018;25.01.2018;Palmeiras;RB Brasil;1;1;2;1;1.34;4.82;8.14;1.7;https://www.flashscore.com/match/zsZxCoYR/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;27.01.2018;Corinthians;Sao Paulo;2;1;2;1;2.33;3.08;3.02;2.34;https://www.flashscore.com/match/ILSeS6I8/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;27.01.2018;Novorizontino;Sao Caetano;0;0;1;0;2.0;3.33;3.7;2.1;https://www.flashscore.com/match/8AL8P42R/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;28.01.2018;Sao Bento;Ponte Preta;0;0;0;1;2.31;3.06;3.2;2.62;https://www.flashscore.com/match/pjFnIMf1/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;28.01.2018;Bragantino;Palmeiras;0;0;0;2;7.36;4.25;1.43;2.06;https://www.flashscore.com/match/vyH4QpmL/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;28.01.2018;Santos;Ituano;0;1;1;1;1.4;4.36;7.81;1.99;https://www.flashscore.com/match/0pI0RQXE/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;29.01.2018;Santo Andre;Mirassol;0;0;1;1;2.15;3.23;3.38;2.18;https://www.flashscore.com/match/jTFrJ2ue/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;29.01.2018;RB Brasil;Linense;0;0;2;1;1.8;3.47;4.47;2.26;https://www.flashscore.com/match/hrcuKrQl/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2018;29.01.2018;Ferroviaria;Botafogo SP;0;0;1;2;2.48;3.1;2.91;2.27;https://www.flashscore.com/match/AJ7zLOAr/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2018;02.02.2018;Sao Bento;Santo Andre;1;0;2;2;2.23;3.0;3.45;2.68;https://www.flashscore.com/match/YBesv4HK/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2018;03.02.2018;Ituano;Ponte Preta;0;1;1;1;2.31;3.06;3.22;2.4;https://www.flashscore.com/match/hdxEYsur/#/match-summary
