nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2015;31.01.2015;Rio Claro;Botafogo SP;0;0;0;1;2.72;3.23;2.57;1.97;https://www.flashscore.com/match/n9Mm42Er/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;31.01.2015;Bragantino;Sao Bernardo;0;0;1;0;2.16;3.37;3.33;1.93;https://www.flashscore.com/match/lYtDA4yF/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;31.01.2015;Audax-SP;Palmeiras;0;3;1;3;5.32;3.85;1.62;1.83;https://www.flashscore.com/match/2yoH9OjL/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;31.01.2015;Capivariano;RB Brasil;0;1;0;1;2.37;3.27;2.97;2.08;https://www.flashscore.com/match/fBs9BpM8/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;31.01.2015;Piracicaba;Mogi Mirim;0;1;0;1;2.5;3.23;2.85;1.87;https://www.flashscore.com/match/GKr5CQ62/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;01.02.2015;Penapolense;Sao Paulo;0;1;1;3;5.42;3.72;1.65;2.09;https://www.flashscore.com/match/xxvQlNEe/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;01.02.2015;Corinthians;Marilia;1;0;3;0;1.22;6.25;11.83;1.73;https://www.flashscore.com/match/GrRi3MTl/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;01.02.2015;Sao Bento;Linense;0;0;0;0;2.47;3.25;2.85;2.21;https://www.flashscore.com/match/p0zM8r6R/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;01.02.2015;Santos;Ituano;2;0;3;0;1.48;4.15;6.87;1.87;https://www.flashscore.com/match/GSxUmsU1/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2015;01.02.2015;Ponte Preta;Portuguesa;0;1;2;3;1.7;3.7;4.95;2.04;https://www.flashscore.com/match/fZPe2tqe/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;03.02.2015;Sao Bernardo;Piracicaba;1;0;2;1;1.8;3.63;4.33;1.97;https://www.flashscore.com/match/rmvK6ezs/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;03.02.2015;Botafogo SP;Audax-SP;1;1;1;1;2.02;3.38;3.7;1.95;https://www.flashscore.com/match/G0xS4Z4g/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;04.02.2015;Portuguesa;Sao Bento;1;0;2;2;2.38;3.32;3.07;2.11;https://www.flashscore.com/match/U3tW3gKa/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;04.02.2015;Ituano;Bragantino;0;0;1;0;2.02;3.35;3.9;2.38;https://www.flashscore.com/match/zqY30KD7/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;04.02.2015;Sao Paulo;Capivariano;2;0;4;2;1.3;5.7;10.25;1.7;https://www.flashscore.com/match/xbF010b1/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;04.02.2015;RB Brasil;Penapolense;1;0;1;1;1.96;3.58;3.95;2.08;https://www.flashscore.com/match/lnMoP3j8/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;04.02.2015;Marilia;Rio Claro;1;0;1;2;2.48;3.2;3.03;2.14;https://www.flashscore.com/match/CSVz3DZ5/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;04.02.2015;Mogi Mirim;Santos;0;0;0;0;4.45;3.72;1.82;1.97;https://www.flashscore.com/match/SxLkON5E/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2015;05.02.2015;Palmeiras;Ponte Preta;0;0;0;1;1.68;3.98;5.1;1.82;https://www.flashscore.com/match/MwwO5Fkm/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2015;07.02.2015;Sao Bernardo;Capivariano;0;0;1;1;1.74;3.57;4.8;2.01;https://www.flashscore.com/match/xzTn0BJO/#/match-summary
