nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2013;19.01.2013;Uniao Barbarense;Piracicaba;0;1;1;1;2.51;3.25;2.66;1.76;https://www.flashscore.com/match/OKtY6o3q/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;19.01.2013;Sao Paulo;Mirassol;1;0;2;0;1.3;5.25;8.6;1.56;https://www.flashscore.com/match/naByR6fF/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;19.01.2013;Sao Bernardo;Santos;1;1;1;3;6.9;4.5;1.4;1.56;https://www.flashscore.com/match/6uf6BRfS/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;19.01.2013;Penapolense;Ituano;2;0;3;0;2.85;3.3;2.33;1.83;https://www.flashscore.com/match/xOpx65Ik/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;19.01.2013;Linense;Guarani;1;1;2;1;1.95;3.4;3.58;1.83;https://www.flashscore.com/match/4zMWRnu9/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;19.01.2013;Atl. Sorocaba;Sao Caetano;0;1;1;2;3.52;3.45;1.98;1.68;https://www.flashscore.com/match/Knzs5PXe/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;20.01.2013;Paulista;Corinthians;0;0;1;1;3.95;3.35;1.88;1.93;https://www.flashscore.com/match/fPEqPpPR/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;20.01.2013;Palmeiras;Bragantino;0;0;0;0;1.48;4.03;6.12;1.66;https://www.flashscore.com/match/02FuQQ9L/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;20.01.2013;Ponte Preta;Mogi Mirim;0;0;0;0;1.58;3.85;5.25;1.67;https://www.flashscore.com/match/QqNSSSP2/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2013;20.01.2013;Botafogo SP;Oeste;1;0;2;0;2.13;3.35;3.18;1.69;https://www.flashscore.com/match/bwZp4qm2/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;23.01.2013;Corinthians;Ponte Preta;0;0;0;1;1.96;3.3;3.72;2.0;https://www.flashscore.com/match/W2HoMH8m/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;23.01.2013;Bragantino;Linense;0;0;2;2;1.98;3.4;3.55;1.76;https://www.flashscore.com/match/nDjAu698/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;23.01.2013;Santos;Botafogo SP;2;0;3;0;1.32;4.7;9.78;1.5;https://www.flashscore.com/match/ER6jLyOg/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;23.01.2013;Ituano;Atl. Sorocaba;0;0;0;0;2.0;3.32;3.58;1.81;https://www.flashscore.com/match/E9eGJOnk/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;23.01.2013;Guarani;Sao Bernardo;0;0;0;0;2.29;3.22;2.95;1.81;https://www.flashscore.com/match/nNgOH2H1/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;23.01.2013;Oeste;Palmeiras;0;2;1;3;3.62;3.32;1.98;1.91;https://www.flashscore.com/match/hCIsNcgs/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;24.01.2013;Piracicaba;Paulista;0;0;2;1;2.05;3.32;3.4;1.78;https://www.flashscore.com/match/dY0BK4Xr/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2013;24.01.2013;Mogi Mirim;Penapolense;1;0;3;0;1.75;3.45;4.5;1.78;https://www.flashscore.com/match/h0fKIr2e/#/match-summary
