nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2016;30.01.2016;Agua Santa;Ferroviaria;0;0;1;0;2.44;3.15;2.87;2.17;https://www.flashscore.com/match/Eso17ECc/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;30.01.2016;Sao Bento;Ituano;1;1;1;1;3.01;3.04;2.4;2.33;https://www.flashscore.com/match/W2irigSG/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;30.01.2016;Santos;Sao Bernardo;0;1;1;1;1.28;5.01;10.19;1.82;https://www.flashscore.com/match/IamvhZCA/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;30.01.2016;RB Brasil;Sao Paulo;0;1;1;1;4.28;3.42;1.82;2.05;https://www.flashscore.com/match/nygFqBKj/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;30.01.2016;Oeste;Ponte Preta;1;0;3;1;2.84;3.21;2.46;2.15;https://www.flashscore.com/match/4GkjkXdT/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;30.01.2016;Rio Claro;Capivariano;2;1;2;2;2.35;3.15;2.99;2.15;https://www.flashscore.com/match/d6z66YR3/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;31.01.2016;Mogi Mirim;Audax-SP;0;2;1;2;2.42;3.12;2.8;2.02;https://www.flashscore.com/match/0vsc8fci/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;31.01.2016;Corinthians;Piracicaba;0;0;1;0;1.38;4.19;8.55;1.98;https://www.flashscore.com/match/8pfBpi5p/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;31.01.2016;Linense;Novorizontino;0;0;2;2;1.82;3.48;4.21;2.08;https://www.flashscore.com/match/QPjnjDsN/#/match-summary
BRAZIL;PAULISTA;ROUND 1;2016;31.01.2016;Botafogo SP;Palmeiras;0;0;0;2;4.15;3.41;1.83;2.19;https://www.flashscore.com/match/zybZhFc4/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;02.02.2016;Sao Bernardo;Oeste;1;0;1;0;2.15;3.15;3.38;2.3;https://www.flashscore.com/match/QoSM2jRS/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;03.02.2016;Capivariano;RB Brasil;0;0;0;2;3.1;3.08;2.32;2.24;https://www.flashscore.com/match/A90uLXtc/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;03.02.2016;Ituano;Linense;0;1;1;1;2.02;3.15;3.75;2.39;https://www.flashscore.com/match/0vJlbAZq/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;03.02.2016;Ponte Preta;Santos;0;2;0;2;3.21;3.15;2.22;2.04;https://www.flashscore.com/match/4WwE4CdG/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;04.02.2016;Ferroviaria;Mogi Mirim;0;0;2;1;1.98;3.11;3.71;2.21;https://www.flashscore.com/match/rNbmJBB9/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;04.02.2016;Novorizontino;Botafogo SP;0;1;1;1;2.72;3.04;2.6;2.37;https://www.flashscore.com/match/rNxI3WBM/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;04.02.2016;Audax-SP;Corinthians;0;1;0;1;4.24;3.27;1.8;2.22;https://www.flashscore.com/match/f1IhcUlj/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;04.02.2016;Palmeiras;Sao Bento;1;2;2;2;1.3;4.92;10.38;1.79;https://www.flashscore.com/match/zcZ95hsA/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;06.02.2016;Santos;Ituano;1;0;2;1;1.32;4.3;8.75;1.88;https://www.flashscore.com/match/vkhdHktM/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;06.02.2016;Sao Paulo;Agua Santa;1;0;4;0;1.32;4.72;9.25;1.83;https://www.flashscore.com/match/YiHddl4d/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;10.02.2016;Sao Bento;Novorizontino;0;0;1;0;2.02;3.19;3.72;2.26;https://www.flashscore.com/match/zZhRBT3q/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;10.02.2016;Audax-SP;RB Brasil;0;1;3;2;2.13;3.1;3.27;2.12;https://www.flashscore.com/match/KMSUVleF/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;10.02.2016;Linense;Ponte Preta;1;1;2;2;2.66;2.94;2.74;2.28;https://www.flashscore.com/match/Iui0G9eS/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;10.02.2016;Oeste;Palmeiras;0;0;0;0;6.26;3.84;1.52;1.89;https://www.flashscore.com/match/dQ2iIVQF/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;10.02.2016;Ferroviaria;Rio Claro;1;1;3;1;1.71;3.34;4.82;2.09;https://www.flashscore.com/match/OfZLXAQ2/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;11.02.2016;Botafogo SP;Sao Bernardo;1;0;1;1;2.2;3.06;3.36;2.64;https://www.flashscore.com/match/EPiVAmJk/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;11.02.2016;Piracicaba;Agua Santa;0;0;0;0;1.99;3.15;3.89;2.35;https://www.flashscore.com/match/2oYPWUu9/#/match-summary
BRAZIL;PAULISTA;ROUND 3;2016;11.02.2016;Corinthians;Capivariano;1;1;2;1;1.36;4.45;8.56;1.95;https://www.flashscore.com/match/dlszA7Ye/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;13.02.2016;Palmeiras;Linense;1;1;1;2;1.59;3.7;5.61;1.93;https://www.flashscore.com/match/bDRYU8AL/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;13.02.2016;Ituano;Oeste;0;0;1;0;2.1;3.1;3.47;2.19;https://www.flashscore.com/match/Ai79O6mk/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;13.02.2016;Rio Claro;Audax-SP;0;1;0;2;3.48;3.1;2.05;2.23;https://www.flashscore.com/match/4CFySufs/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;13.02.2016;RB Brasil;Ferroviaria;0;1;0;3;2.1;3.28;3.35;2.1;https://www.flashscore.com/match/CGi8q8PE/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;13.02.2016;Novorizontino;Santos;0;1;3;3;6.41;3.82;1.52;2.04;https://www.flashscore.com/match/hzRxUSPR/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;14.02.2016;Sao Bento;Sao Bernardo;2;0;3;0;2.2;3.05;3.35;2.45;https://www.flashscore.com/match/lr6DNQ2e/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;14.02.2016;Agua Santa;Capivariano;2;1;4;1;2.38;3.08;3.02;2.27;https://www.flashscore.com/match/d89LL4X7/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;14.02.2016;Corinthians;Sao Paulo;1;0;2;0;2.26;3.1;3.14;2.31;https://www.flashscore.com/match/IHAHMpI1/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;14.02.2016;Ponte Preta;Botafogo SP;0;0;1;1;1.76;3.4;4.7;2.31;https://www.flashscore.com/match/SSH4PnYr/#/match-summary
BRAZIL;PAULISTA;ROUND 4;2016;14.02.2016;Mogi Mirim;Piracicaba;0;0;0;0;2.48;3.0;2.89;2.37;https://www.flashscore.com/match/bDm4plA8/#/match-summary
BRAZIL;PAULISTA;ROUND 2;2016;17.02.2016;Piracicaba;Rio Claro;0;2;1;2;1.72;3.32;4.99;2.31;https://www.flashscore.com/match/l0aqKid3/#/match-summary
BRAZIL;PAULISTA;ROUND 7;2016;17.02.2016;Mogi Mirim;Linense;2;0;3;1;2.72;3.04;2.6;2.27;https://www.flashscore.com/match/MiKFQYUA/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2016;20.02.2016;Sao Bernardo;Linense;0;1;1;1;2.06;3.2;3.56;2.36;https://www.flashscore.com/match/AVXlNH8C/#/match-summary
BRAZIL;PAULISTA;ROUND 5;2016;20.02.2016;Palmeiras;Santos;0;0;0;0;2.23;3.24;3.14;2.15;https://www.flashscore.com/match/r3EuRa9m/#/match-summary
